point_mutations	transitions	transversions	TiTv_ratio	weighted_score	cases
32239	25782	6457	3.99	45863.2700000029	KT156560.1|Homo sapiens|Oman|28-Oct-2013
32296	23971	8325	2.88	49861.7500000039	MF598673.1|Camelus dromedarius|United Arab Emirates|Mar-2015
32303	25164	7139	3.52	47366.2900000033	MN481968.1|Homo sapiens|Saudi Arabia|May-2014
32413	25110	7303	3.44	47822.3300000033	MG011360.1|Homo sapiens|Saudi Arabia|23-Jan-2017
32506	25255	7251	3.48	47805.6100000033	KJ713299.1|Camelus dromedarius|Saudi Arabia|Nov-2013
32652	26111	6541	3.99	46453.510000003	KF600647.1|Homo sapiens|Saudi Arabia|15-May-2013
32674	26217	6457	4.06	46298.2700000029	KJ361503.1|Homo sapiens|France|07-May-2013
32705	25564	7141	3.58	47772.5100000033	MN481967.1|Homo sapiens|Saudi Arabia|May-2014
32720	25761	6959	3.70	47403.4900000032	KT368850.1|camel|Saudi Arabia|Oct-2014,KT368849.1|camel|Saudi Arabia|Oct-2014
32752	26381	6371	4.14	46194.8100000029	KJ650296.1|dromedary|Saudi Arabia|30-Dec-2013,KJ650297.1|dromedary|Saudi Arabia|30-Nov-2013,KJ650295.1|dromedary|Saudi Arabia|30-Dec-2013
32794	25393	7401	3.43	48410.1100000034	MF598656.1|Camelus dromedarius|United Arab Emirates|Mar-2015
32801	25384	7417	3.42	48450.8700000034	MF598714.1|Camelus dromedarius|United Arab Emirates|Apr-2015
32839	25334	7505	3.38	48674.5500000035	MF598626.1|Camelus dromedarius|United Arab Emirates|Mar-2015
32854	23931	8923	2.68	51681.5300000042	MG011345.2|Homo sapiens|Saudi Arabia|18-Mar-2016
32868	25875	6993	3.70	47623.2300000032	MF598711.1|Camelus dromedarius|United Arab Emirates|Apr-2015
32952	25245	7707	3.28	49213.7700000036	KP209311.1|Homo sapiens|United Arab Emirates|17-Apr-2014,KY581691.1|Homo sapiens|United Arab Emirates|14-Apr-2014,KP209309.1|Homo sapiens|United Arab Emirates|19-Apr-2014
32954	24855	8099	3.07	50042.8900000038	KY581688.1|Homo sapiens|United Arab Emirates|10-Apr-2014
32958	25251	7707	3.28	49219.7700000036	KY581689.1|Homo sapiens|United Arab Emirates|10-Apr-2014
32983	26208	6775	3.87	47278.2500000031	KT368830.1|camel|Saudi Arabia|Dec-2014,KT368829.1|camel|Saudi Arabia|Dec-2014,KT368832.1|camel|Saudi Arabia|Dec-2014
32984	26141	6843	3.82	47422.7300000031	MF598630.1|Camelus dromedarius|United Arab Emirates|Mar-2015
33007	23594	9413	2.51	52868.4300000044	MF598649.1|Camelus dromedarius|United Arab Emirates|Mar-2015
33034	27571	5463	5.05	44560.9300000024	MN655008.1|Camelus dromedarius|Saudi Arabia|May-2017,MN654989.1|Camelus dromedarius|Saudi Arabia|Jan-2017
33063	27002	6061	4.46	45851.7100000027	KP209312.1|Homo sapiens|United Arab Emirates|15-Nov-2013
33070	26217	6853	3.83	47529.8300000031	KF745068.1|Homo sapiens|France|07-May-2013
33116	26157	6959	3.76	47799.4900000032	KT368851.1|camel|Saudi Arabia|Oct-2014
33156	25985	7171	3.62	48286.8100000033	MF598671.1|Camelus dromedarius|United Arab Emirates|Mar-2015
33326	25227	8099	3.11	50414.8900000038	KY581686.1|Homo sapiens|United Arab Emirates|10-Apr-2014
33332	25925	7407	3.50	48960.7700000034	MT226601.1|Camelus dromedarius|Saudi Arabia|01-Feb-2017
33348	25641	7707	3.33	49609.7700000036	KP209313.1|Homo sapiens|United Arab Emirates|13-Apr-2014
33348	25245	8103	3.12	50445.3300000038	KY581692.1|Homo sapiens|United Arab Emirates|15-Apr-2014
33350	25251	8099	3.12	50438.8900000038	KY581690.1|Homo sapiens|United Arab Emirates|12-Apr-2014
33388	26257	7131	3.68	48434.4100000033	KT121579.1|Homo sapiens|Saudi Arabia|30-Apr-2014
33397	26652	6745	3.95	47628.9500000031	KT121581.1|Homo sapiens|Saudi Arabia|03-May-2014
33430	27571	5859	4.71	45792.4900000026	MN655013.1|Camelus dromedarius|Saudi Arabia|
33510	26157	7353	3.56	49024.8300000034	KT368854.1|camel|Saudi Arabia|Sep-2014
33534	22941	10593	2.17	55885.2300000051	KX154687.1|Homo sapiens|Saudi Arabia|Feb-2016
33536	26379	7157	3.69	48637.2700000033	KJ713298.1|Camelus dromedarius|Saudi Arabia|Nov-2013
33557	26206	7351	3.56	49067.6100000034	KT368855.1|camel|Saudi Arabia|Sep-2014
33575	24608	8967	2.74	52495.3700000042	MT226605.1|Camelus dromedarius|Saudi Arabia|01-Feb-2017
33740	25807	7933	3.25	50478.6300000037	KT368825.1|camel|Saudi Arabia|Jul-2014
33744	26037	7707	3.38	50005.7700000036	KP209307.1|Homo sapiens|United Arab Emirates|10-Apr-2014
33769	25124	8645	2.91	52009.9500000041	MF598700.1|Camelus dromedarius|United Arab Emirates|Apr-2015
33812	21913	11899	1.84	58918.8900000058	MW545527.1|Camelus dromedarius|United Arab Emirates|2015
33817	26232	7585	3.46	49821.3500000035	KT368852.1|camel|Saudi Arabia|Oct-2014
33875	26340	7535	3.50	49773.8500000035	KM027262.1|Homo sapiens|Saudi Arabia|22-Apr-2014
33932	25865	8067	3.21	50953.3700000037	MH395139.1|Homo sapiens|Saudi Arabia|04-Dec-2016
33968	26129	7839	3.33	50508.2900000036	KT751244.1|dromedary camel|United Arab Emirates: Dubai|
33993	26198	7795	3.36	50440.4500000036	MF598716.1|Camelus dromedarius|United Arab Emirates|Apr-2015
34042	27487	6555	4.19	47873.050000003	MN655016.1|Camelus dromedarius|Saudi Arabia|Nov-2015
34055	26476	7579	3.49	50046.6900000035	KT806055.1|Homo sapiens|Saudi Arabia|10-Feb-2015
34108	26005	8103	3.21	51205.3300000038	KY581697.1|camel|United Arab Emirates|18-Feb-2014,KY581700.1|camel|United Arab Emirates|18-Feb-2014
34128	26963	7165	3.76	49246.1500000033	MN654994.1|Camelus dromedarius|Saudi Arabia|Apr-2017
34160	27395	6765	4.05	48434.1500000031	KY581694.1|Homo sapiens|United Arab Emirates|2014
34174	27385	6789	4.03	48498.7900000031	KT368857.1|camel|Saudi Arabia|Sep-2014
34176	26759	7417	3.61	49825.8700000034	MF598679.1|Camelus dromedarius|United Arab Emirates|Mar-2015
34192	26363	7829	3.37	50711.1900000036	MF598640.1|Camelus dromedarius|United Arab Emirates|Mar-2015
34217	25842	8375	3.09	51888.2500000039	KT368890.1|camel|Saudi Arabia|Mar-2015
34220	27645	6575	4.20	48093.250000003	MN655002.1|Camelus dromedarius|Saudi Arabia|May-2017
34240	26063	8177	3.19	51493.4700000038	MF598629.1|Camelus dromedarius|United Arab Emirates|Mar-2015
34270	27021	7249	3.73	49565.3900000034	KY581687.1|Homo sapiens|United Arab Emirates|23-Dec-2013
34324	26357	7967	3.31	51134.3700000037	MK462244.1|Homo sapiens|Saudi Arabia|07-Aug-2017
34324	26513	7811	3.39	50805.2100000036	KJ156944.1|Homo sapiens|Saudi Arabia|02-Jul-2013
34493	27946	6547	4.27	48307.170000003	MN655010.1|Camelus dromedarius|Saudi Arabia|May-2017
34516	25625	8891	2.88	53276.0100000042	MF598699.1|Camelus dromedarius|United Arab Emirates|Apr-2015
34658	26825	7833	3.42	51185.6300000037	MF598599.1|Camelus dromedarius|United Arab Emirates|Mar-2015
34668	26101	8567	3.05	52744.370000004	KP209310.1|Homo sapiens|United Arab Emirates|07-Mar-2014
34718	27191	7527	3.61	50599.9700000035	MF598600.1|Camelus dromedarius|United Arab Emirates|Mar-2015
34793	27774	7019	3.96	49603.0900000032	KJ156881.1|Homo sapiens|Saudi Arabia|12-Jun-2013
34803	28178	6625	4.25	48781.750000003	KJ156949.1|Homo sapiens|Saudi Arabia|12-Jun-2013
34889	27700	7189	3.85	50057.7900000033	KU710264.1|Homo sapiens|Saudi Arabia|04-Nov-2014
34906	28117	6789	4.14	49230.7900000031	KT368827.1|camel|Saudi Arabia|Sep-2014,KT368856.1|camel|Saudi Arabia|Sep-2014
34912	27073	7839	3.45	51452.2900000037	MF598605.1|Camelus dromedarius|United Arab Emirates|Mar-2015,MF598655.1|Camelus dromedarius|United Arab Emirates|Mar-2015
34958	27119	7839	3.46	51498.2900000037	MF598634.1|Camelus dromedarius|United Arab Emirates|Mar-2015
35044	27205	7839	3.47	51584.2900000037	MF598717.1|Camelus dromedarius|United Arab Emirates|Apr-2015
35050	27715	7335	3.78	50526.8500000034	MN655006.1|Camelus dromedarius|Saudi Arabia|07-Mar-2018
35064	28571	6493	4.40	48764.230000003	MN758611.1|Camelus dromedarius|Saudi Arabia|2017,MN758610.1|Camelus dromedarius|Saudi Arabia|2017,MN758606.1|Camelus dromedarius|Saudi Arabia|2017,MN758612.1|Camelus dromedarius|Saudi Arabia|2017
35108	27297	7811	3.49	51589.2100000037	KF917527.1|camel|Saudi Arabia|08-Nov-2013,KF958702.1|Homo sapiens|Saudi Arabia|05-Nov-2013
35110	28377	6733	4.21	49316.6300000031	KR011264.1|Homo sapiens|Saudi Arabia|21-Jan-2015,KR011266.1|Homo sapiens|Saudi Arabia|06-Jan-2015,KR011263.1|Homo sapiens|Saudi Arabia|21-Jan-2015
35128	26909	8219	3.27	52470.0900000039	MF598710.1|Camelus dromedarius|United Arab Emirates|Apr-2015
35345	27370	7975	3.43	52172.2500000037	KT368867.1|camel|Saudi Arabia|Feb-2015,KT368866.1|camel|Saudi Arabia|Feb-2015
35364	27401	7963	3.44	52165.9300000037	KT368831.1|camel|Saudi Arabia|Dec-2014
35415	28658	6757	4.24	49672.2700000031	MN655001.1|Camelus dromedarius|Saudi Arabia|02-Apr-2018
35422	27583	7839	3.52	51962.2900000037	MF598610.1|Camelus dromedarius|United Arab Emirates|Mar-2015
35440	26409	9031	2.92	54495.4100000043	MG011342.2|Homo sapiens|Saudi Arabia|07-Mar-2016
35533	27974	7559	3.70	51482.4900000035	KT156561.1|Homo sapiens|Oman|28-Dec-2013
35552	27333	8219	3.33	52894.0900000039	MF598705.1|Camelus dromedarius|United Arab Emirates|Apr-2015
35567	28196	7371	3.83	51119.8100000034	MN655005.1|Camelus dromedarius|Saudi Arabia|Dec-2017,MN655009.1|Camelus dromedarius|Saudi Arabia|Dec-2017,MN654983.1|Camelus dromedarius|Saudi Arabia|Dec-2017,MN654999.1|Camelus dromedarius|Saudi Arabia|Dec-2017
35704	27469	8235	3.34	53079.8500000039	MF598690.1|Camelus dromedarius|United Arab Emirates|Mar-2015
35745	28956	6789	4.27	50069.7900000031	KT368843.1|camel|Saudi Arabia|Dec-2014,KT368828.1|camel|Saudi Arabia|Dec-2014
35760	27849	7911	3.52	52452.2100000037	MF598653.1|Camelus dromedarius|United Arab Emirates|Mar-2015
35796	27577	8219	3.36	53138.0900000039	MF598703.1|Camelus dromedarius|United Arab Emirates|Apr-2015,MF598706.1|Camelus dromedarius|United Arab Emirates|Apr-2015,MF598713.1|Camelus dromedarius|United Arab Emirates|Apr-2015,MF598704.1|Camelus dromedarius|United Arab Emirates|Apr-2015
35846	28973	6873	4.22	50348.0300000032	MK462248.1|Homo sapiens|Saudi Arabia|13-Jun-2018
35856	27289	8567	3.19	53932.370000004	KY581696.1|camel|United Arab Emirates|12-Mar-2014
35950	27489	8461	3.25	53802.710000004	MN654988.1|Camelus dromedarius|Saudi Arabia|
36057	27510	8547	3.22	54091.170000004	MF598667.1|Camelus dromedarius|United Arab Emirates|Mar-2015
36076	27847	8229	3.38	53439.1900000039	MF598715.1|Camelus dromedarius|United Arab Emirates|Apr-2015
36114	29339	6775	4.33	50409.2500000031	MH013216.1|Homo sapiens|Saudi Arabia|15-Oct-2015
36140	28309	7831	3.61	52663.4100000037	MF598659.1|Camelus dromedarius|United Arab Emirates|Mar-2015
36141	28956	7185	4.03	51301.3500000033	KT368844.1|camel|Saudi Arabia|Dec-2014
36143	28958	7185	4.03	51303.3500000033	KT368845.1|camel|Saudi Arabia|Dec-2014
36162	28315	7847	3.61	52719.1700000037	MF598689.1|Camelus dromedarius|United Arab Emirates|Mar-2015
36194	27569	8625	3.20	54392.7500000041	MF598722.1|Camelus dromedarius|United Arab Emirates|Apr-2015
36240	29791	6449	4.62	49847.390000003	KX108940.1|Camelus dromedarius|United Arab Emirates|12-Feb-2015
36372	28143	8229	3.42	53735.1900000039	MF598721.1|Camelus dromedarius|United Arab Emirates|Apr-2015
36373	28066	8307	3.38	53900.7700000039	MN654986.1|Camelus dromedarius|Saudi Arabia|May-2017
36424	27333	9091	3.01	55606.0100000043	MW086533.1|Camelus dromedarius|Jordan|May-2016,MW086532.1|Camelus dromedarius|Jordan|May-2016
36448	29507	6941	4.25	51093.5100000032	MN655007.1|Camelus dromedarius|Saudi Arabia|,MN655003.1|Camelus dromedarius|Saudi Arabia|May-2017,MN654985.1|Camelus dromedarius|Saudi Arabia|,MN654998.1|Camelus dromedarius|Saudi Arabia|May-2017
36466	28237	8229	3.43	53829.1900000039	MF598719.1|Camelus dromedarius|United Arab Emirates|Apr-2015,MF598720.1|Camelus dromedarius|United Arab Emirates|Apr-2015
36516	27353	9163	2.99	55849.9300000044	MG011357.2|Homo sapiens|Saudi Arabia|21-Sep-2016
36605	29526	7079	4.17	51541.6900000033	MG912603.1|Homo sapiens|Saudi Arabia|12-Jun-2017,MG366483.1|Homo sapiens|Saudi Arabia|02-Jun-2017
36632	29789	6843	4.35	51070.7300000032	KX108939.1|Camelus dromedarius|United Arab Emirates|30-Jan-2015
36641	28376	8265	3.43	54080.1500000039	MF598635.1|Camelus dromedarius|United Arab Emirates|Mar-2015
36761	28454	8307	3.43	54288.7700000039	MN654974.1|Camelus dromedarius|Saudi Arabia|May-2017,MN654981.1|Camelus dromedarius|Saudi Arabia|
36781	27950	8831	3.16	55414.4100000042	KX108937.1|Camelus dromedarius|United Arab Emirates|02-Jun-2014
36898	29965	6933	4.32	51526.6300000032	MN758613.1|Camelus dromedarius|Saudi Arabia|2017
37001	29922	7079	4.23	51937.6900000033	MG366882.1|Homo sapiens|Saudi Arabia|07-Jun-2015
37210	27735	9475	2.93	57202.2500000045	MW086528.1|Camelus dromedarius|Jordan|May-2016
37342	27339	10003	2.73	58448.3300000048	MF598672.1|Camelus dromedarius|United Arab Emirates|Mar-2015
37363	30210	7153	4.22	52455.8300000033	MK462254.1|Homo sapiens|Saudi Arabia|31-Aug-2018
37384	30235	7149	4.23	52468.3900000033	MK462253.1|Homo sapiens|Saudi Arabia|30-Aug-2018
37385	28134	9251	3.04	56904.6100000044	MF598637.1|Camelus dromedarius|United Arab Emirates|Mar-2015
37421	30578	6843	4.47	51859.7300000032	KX108942.1|Camelus dromedarius|United Arab Emirates|15-Feb-2015
37423	30580	6843	4.47	51861.7300000032	KX108938.1|Camelus dromedarius|United Arab Emirates|13-Dec-2014
37496	26655	10841	2.46	60370.5100000052	MH454272.1|Homo sapiens|Saudi Arabia|06-Dec-2016
37599	28508	9091	3.14	56781.0100000043	MW086534.1|Camelus dromedarius|Jordan|May-2016
37692	29527	8165	3.62	54920.1500000039	MN758614.1|Camelus dromedarius|Saudi Arabia|2017
37780	30631	7149	4.28	52864.3900000033	MN723544.1|Homo sapiens|Saudi Arabia|30-Aug-2018
37840	27853	9987	2.79	58912.5700000048	MN654987.1|Camelus dromedarius|Saudi Arabia|May-2017,MN654979.1|Camelus dromedarius|Saudi Arabia|May-2017,MN655014.1|Camelus dromedarius|Saudi Arabia|
37915	30152	7763	3.88	54294.9300000037	KT368875.1|camel|Saudi Arabia|Mar-2015
37916	28367	9549	2.97	58064.3900000046	MH310912.1|Homo sapiens|Saudi Arabia|15-May-2017
38026	30691	7335	4.18	53502.8500000034	MN654995.1|Camelus dromedarius|Saudi Arabia|07-Mar-2018
38034	31647	6387	4.95	51510.570000003	KT368824.1|camel|Saudi Arabia|May-2014
38104	29913	8191	3.65	55387.0100000039	KY673149.1|Camel|Oman|Jan-2015
38189	31110	7079	4.39	53125.6900000033	MH310911.1|Homo sapiens|Saudi Arabia|06-Jun-2017
38236	28249	9987	2.83	59308.5700000048	MN655012.1|Camelus dromedarius|Saudi Arabia|May-2017,MN654993.1|Camelus dromedarius|Saudi Arabia|,MN655015.1|Camelus dromedarius|Saudi Arabia|,MN654977.1|Camelus dromedarius|Saudi Arabia|May-2017
38332	30735	7597	4.05	54361.6700000036	KX108944.1|Camelus dromedarius|United Arab Emirates|12-May-2015
38393	28522	9871	2.89	59220.8100000048	MW086535.1|Camelus dromedarius|Jordan|May-2016
38485	28542	9943	2.87	59464.7300000048	KY673148.1|Homo sapiens|Oman|06-Jan-2015
38676	31773	6903	4.60	53241.3300000032	MK462250.1|Homo sapiens|Saudi Arabia|12-Jul-2018
39227	28908	10319	2.80	61000.090000005	MF598647.1|Camelus dromedarius|United Arab Emirates|Mar-2015
39551	30770	8781	3.50	58078.9100000042	MN758608.1|Camelus dromedarius|Saudi Arabia|2017
40013	29694	10319	2.88	61786.090000005	MF598681.1|Camelus dromedarius|United Arab Emirates|Mar-2015
40034	29393	10641	2.76	62486.5100000052	MF598636.1|Camelus dromedarius|United Arab Emirates|Mar-2015
40153	32488	7665	4.24	56326.1500000036	MK462252.1|Homo sapiens|Saudi Arabia|03-Aug-2018
40388	30077	10311	2.92	62144.210000005	MF598639.1|Camelus dromedarius|United Arab Emirates|Mar-2015
40769	32844	7925	4.14	57490.7500000038	MN365232.1|Homo sapiens|Saudi Arabia|28-Jan-2019
40781	33122	7659	4.32	56941.4900000036	MN758607.1|Camelus dromedarius|Saudi Arabia|2017
40965	32766	8199	4.00	58264.8900000039	MK462251.1|Homo sapiens|Saudi Arabia|18-Jul-2018
40977	31370	9607	3.27	61247.7700000046	MK462249.1|Homo sapiens|Saudi Arabia|09-Jul-2018
41162	32327	8835	3.66	59803.8500000043	MK462247.1|Homo sapiens|Saudi Arabia|08-Jun-2018
41778	32569	9209	3.54	61208.9900000045	MK483839.1|Homo sapiens|Saudi Arabia|16-Aug-2018
41957	33636	8321	4.04	59514.310000004	MN365233.1|Homo sapiens|Saudi Arabia|15-Feb-2019
42004	33933	8071	4.20	59033.8100000039	MK462256.1|Homo sapiens|Saudi Arabia|15-Sep-2018
42699	29096	13603	2.14	71401.3300000068	MH432120.1|Homo sapiens|Saudi Arabia|28-Feb-2017
43197	34758	8439	4.12	61003.2900000041	MN758609.1|Camelus dromedarius|Saudi Arabia|2017
43830	33101	10729	3.09	66468.1900000053	MN120514.1|Homo sapiens|Saudi Arabia|28-Mar-2019
46944	33867	13077	2.59	74536.4700000066	MK129253.1|Homo sapiens|South Korea|20-Oct-2018
47369	37896	9473	4.00	67357.0300000047	MN120513.1|Homo sapiens|Saudi Arabia|27-Mar-2019
50064	39217	10847	3.62	72951.1700000055	JX869059.2|Homo sapiens||13-Jun-2012,NC_019843.3|Homo sapiens||13-Jun-2012
51648	40405	11243	3.59	75370.7300000057	OK573213.1|Homo sapiens|USA: MD|
53576	41629	11947	3.48	78784.1700000061	KJ614529.1|||
73836	54751	19085	2.87	114105.35000001	KJ477103.2|Camelus dromedarius|Egypt|2013
87420	68837	18583	3.70	126630.13000001	MK357909.1|Camelus dromedarius|Kenya|21-Apr-2017
87743	66356	21387	3.10	132869.570000007	MG923466.1|Camelus dromedarius|Ethiopia|15-Mar-2017
88520	69547	18973	3.67	128553.03000001	MK357908.1|Camelus dromedarius|Kenya|21-Apr-2017
91351	71582	19769	3.62	133063.590000006	MH734114.1|Camelus dromedarius|Kenya|13-Mar-2018,MH734115.1|Camelus dromedarius|Kenya|13-Mar-2018
